Sala: 204 Predio: CAA Capacidade: 55 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
16:00-16:50,AA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 1,AA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 1,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,VAZIO, VAZIO, 
16:50-17:40,AA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 1,AA Curso: Curso12 Predio: CAA Capacidade: 60 Periodo: 1,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,A Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 5,VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 205 Predio: CAA Capacidade: 55 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 4,AA Curso: Curso11 Predio: CAA Capacidade: 50 Periodo: 5,A Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 4,AA Curso: Curso11 Predio: CAA Capacidade: 50 Periodo: 5,AAA Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 7,VAZIO, 
08:50-09:40,A Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 4,AA Curso: Curso11 Predio: CAA Capacidade: 50 Periodo: 5,A Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 4,AA Curso: Curso11 Predio: CAA Capacidade: 50 Periodo: 5,AAA Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 7,VAZIO, 
10:00-10:50,AAAA Curso: Curso5 Predio: CAA Capacidade: 55 Periodo: 6,AA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 3,AAAA Curso: Curso5 Predio: CAA Capacidade: 55 Periodo: 6,AA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 3,AAAA Curso: Curso5 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, 
10:50-11:40,AAAA Curso: Curso5 Predio: CAA Capacidade: 55 Periodo: 6,AA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 3,AAAA Curso: Curso5 Predio: CAA Capacidade: 55 Periodo: 6,AA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 3,AAAA Curso: Curso5 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AAAA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 3,AAAA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 3,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso1 Predio: CAA Capacidade: 55 Periodo: 8,VAZIO, 
14:50-15:40,AAAA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 3,AAAA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 3,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso1 Predio: CAA Capacidade: 55 Periodo: 8,VAZIO, 
16:00-16:50,AA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 6,AA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, VAZIO, 
16:50-17:40,AA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 6,AA Curso: Curso12 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 304 Predio: CAA Capacidade: 55 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:50-09:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
10:00-10:50,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, 
10:50-11:40,AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, AA Curso: Curso10 Predio: CAA Capacidade: 55 Periodo: 6,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso16 Predio: CAA Capacidade: 55 Periodo: 4,AA Curso: Curso16 Predio: CAA Capacidade: 55 Periodo: 4,VAZIO, VAZIO, VAZIO, VAZIO, 
14:50-15:40,AA Curso: Curso16 Predio: CAA Capacidade: 55 Periodo: 4,AA Curso: Curso16 Predio: CAA Capacidade: 55 Periodo: 4,VAZIO, VAZIO, VAZIO, VAZIO, 
16:00-16:50,AAAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 8,AAAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 8,VAZIO, VAZIO, VAZIO, VAZIO, 
16:50-17:40,AAAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 8,AAAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 8,VAZIO, VAZIO, VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 305 Predio: CAA Capacidade: 55 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,VAZIO, AAAA Curso: Curso4 Predio: CAC Capacidade: 55 Periodo: 2,VAZIO, AAAA Curso: Curso4 Predio: CAC Capacidade: 55 Periodo: 2,VAZIO, VAZIO, 
08:50-09:40,VAZIO, AAAA Curso: Curso4 Predio: CAC Capacidade: 55 Periodo: 2,VAZIO, AAAA Curso: Curso4 Predio: CAC Capacidade: 55 Periodo: 2,VAZIO, VAZIO, 
10:00-10:50,AAA Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 8,VAZIO, AAA Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 8,VAZIO, AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 1,VAZIO, 
10:50-11:40,AAA Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 8,VAZIO, AAA Curso: Curso2 Predio: CAA Capacidade: 60 Periodo: 8,VAZIO, AAA Curso: Curso13 Predio: CAA Capacidade: 55 Periodo: 1,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AAAA Curso: Curso11 Predio: CAA Capacidade: 60 Periodo: 5,AAAA Curso: Curso11 Predio: CAA Capacidade: 60 Periodo: 5,VAZIO, VAZIO, AA Curso: Curso11 Predio: CAC Capacidade: 55 Periodo: 7,VAZIO, 
14:50-15:40,AAAA Curso: Curso11 Predio: CAA Capacidade: 60 Periodo: 5,AAAA Curso: Curso11 Predio: CAA Capacidade: 60 Periodo: 5,VAZIO, VAZIO, AA Curso: Curso11 Predio: CAC Capacidade: 55 Periodo: 7,VAZIO, 
16:00-16:50,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
16:50-17:40,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 306 Predio: CAA Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso7 Predio: CAA Capacidade: 50 Periodo: 1,AAAA Curso: Curso10 Predio: CAA Capacidade: 50 Periodo: 2,A Curso: Curso7 Predio: CAA Capacidade: 50 Periodo: 1,AAAA Curso: Curso10 Predio: CAA Capacidade: 50 Periodo: 2,VAZIO, VAZIO, 
08:50-09:40,A Curso: Curso7 Predio: CAA Capacidade: 50 Periodo: 1,AAAA Curso: Curso10 Predio: CAA Capacidade: 50 Periodo: 2,A Curso: Curso7 Predio: CAA Capacidade: 50 Periodo: 1,AAAA Curso: Curso10 Predio: CAA Capacidade: 50 Periodo: 2,VAZIO, VAZIO, 
10:00-10:50,AAAA Curso: Curso6 Predio: CAA Capacidade: 50 Periodo: 3,VAZIO, AAAA Curso: Curso6 Predio: CAA Capacidade: 50 Periodo: 3,VAZIO, AAA Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 7,VAZIO, 
10:50-11:40,AAAA Curso: Curso6 Predio: CAA Capacidade: 50 Periodo: 3,VAZIO, AAAA Curso: Curso6 Predio: CAA Capacidade: 50 Periodo: 3,VAZIO, AAA Curso: Curso7 Predio: CAA Capacidade: 55 Periodo: 7,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AAA Curso: Curso15 Predio: CAA Capacidade: 60 Periodo: 8,AAA Curso: Curso15 Predio: CAA Capacidade: 60 Periodo: 8,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,AAAA Curso: Curso16 Predio: CAA Capacidade: 50 Periodo: 2,VAZIO, 
14:50-15:40,AAA Curso: Curso15 Predio: CAA Capacidade: 60 Periodo: 8,AAA Curso: Curso15 Predio: CAA Capacidade: 60 Periodo: 8,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,AAAA Curso: Curso16 Predio: CAA Capacidade: 50 Periodo: 2,VAZIO, 
16:00-16:50,AAAA Curso: Curso16 Predio: CAA Capacidade: 50 Periodo: 3,AAAA Curso: Curso16 Predio: CAA Capacidade: 50 Periodo: 3,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,AAA Curso: Curso4 Predio: CAA Capacidade: 50 Periodo: 7,VAZIO, 
16:50-17:40,AAAA Curso: Curso16 Predio: CAA Capacidade: 50 Periodo: 3,AAAA Curso: Curso16 Predio: CAA Capacidade: 50 Periodo: 3,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 7,AAA Curso: Curso4 Predio: CAA Capacidade: 50 Periodo: 7,VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 309 Predio: CAA Capacidade: 50 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,AAA Curso: Curso3 Predio: CAA Capacidade: 50 Periodo: 3,A Curso: Curso14 Predio: CAA Capacidade: 50 Periodo: 3,AAA Curso: Curso3 Predio: CAA Capacidade: 50 Periodo: 3,A Curso: Curso14 Predio: CAA Capacidade: 50 Periodo: 3,VAZIO, VAZIO, 
08:50-09:40,AAA Curso: Curso3 Predio: CAA Capacidade: 50 Periodo: 3,A Curso: Curso14 Predio: CAA Capacidade: 50 Periodo: 3,AAA Curso: Curso3 Predio: CAA Capacidade: 50 Periodo: 3,A Curso: Curso14 Predio: CAA Capacidade: 50 Periodo: 3,VAZIO, VAZIO, 
10:00-10:50,AAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 7,VAZIO, AAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 7,VAZIO, VAZIO, VAZIO, 
10:50-11:40,AAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 7,VAZIO, AAA Curso: Curso15 Predio: CAA Capacidade: 50 Periodo: 7,VAZIO, VAZIO, VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,VAZIO, VAZIO, VAZIO, VAZIO, AAA Curso: Curso6 Predio: CAA Capacidade: 50 Periodo: 4,VAZIO, 
14:50-15:40,VAZIO, VAZIO, VAZIO, VAZIO, AAA Curso: Curso6 Predio: CAA Capacidade: 50 Periodo: 4,VAZIO, 
16:00-16:50,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 5,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 5,VAZIO, VAZIO, VAZIO, VAZIO, 
16:50-17:40,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 5,A Curso: Curso8 Predio: CAA Capacidade: 50 Periodo: 5,VAZIO, VAZIO, VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 101 Predio: CAA Capacidade: 45 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 5,A Curso: Curso2 Predio: CAA Capacidade: 45 Periodo: 2,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 5,A Curso: Curso2 Predio: CAA Capacidade: 45 Periodo: 2,AA Curso: Curso12 Predio: CAA Capacidade: 40 Periodo: 7,VAZIO, 
08:50-09:40,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 5,A Curso: Curso2 Predio: CAA Capacidade: 45 Periodo: 2,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 5,A Curso: Curso2 Predio: CAA Capacidade: 45 Periodo: 2,AA Curso: Curso12 Predio: CAA Capacidade: 40 Periodo: 7,VAZIO, 
10:00-10:50,AAA Curso: Curso14 Predio: CAA Capacidade: 30 Periodo: 5,AAAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso14 Predio: CAA Capacidade: 30 Periodo: 5,AAAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 1,AA Curso: Curso12 Predio: CAA Capacidade: 40 Periodo: 7,VAZIO, 
10:50-11:40,AAA Curso: Curso14 Predio: CAA Capacidade: 30 Periodo: 5,AAAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso14 Predio: CAA Capacidade: 30 Periodo: 5,AAAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 1,AA Curso: Curso12 Predio: CAA Capacidade: 40 Periodo: 7,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 1,AA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 1,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,A Curso: Curso1 Predio: CAA Capacidade: 40 Periodo: 2,VAZIO, 
14:50-15:40,AA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 1,AA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 1,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,A Curso: Curso1 Predio: CAA Capacidade: 40 Periodo: 2,VAZIO, 
16:00-16:50,AAA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 3,AAA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 3,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,A Curso: Curso4 Predio: CAA Capacidade: 45 Periodo: 4,VAZIO, 
16:50-17:40,AAA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 3,AAA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 3,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 1,A Curso: Curso4 Predio: CAA Capacidade: 45 Periodo: 4,VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 102 Predio: CAA Capacidade: 45 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,VAZIO, A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 2,VAZIO, A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 2,AAA Curso: Curso16 Predio: CAA Capacidade: 45 Periodo: 8,VAZIO, 
08:50-09:40,VAZIO, A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 2,VAZIO, A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 2,AAA Curso: Curso16 Predio: CAA Capacidade: 45 Periodo: 8,VAZIO, 
10:00-10:50,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 8,AAAA Curso: Curso15 Predio: CAA Capacidade: 40 Periodo: 1,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 8,AAAA Curso: Curso15 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso16 Predio: CAA Capacidade: 45 Periodo: 8,VAZIO, 
10:50-11:40,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 8,AAAA Curso: Curso15 Predio: CAA Capacidade: 40 Periodo: 1,A Curso: Curso12 Predio: CAA Capacidade: 45 Periodo: 8,AAAA Curso: Curso15 Predio: CAA Capacidade: 40 Periodo: 1,AAA Curso: Curso16 Predio: CAA Capacidade: 45 Periodo: 8,VAZIO, 
11:40-12:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

13:10-14:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
14:00-14:50,AAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 2,AAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 2,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,A Curso: Curso3 Predio: CAA Capacidade: 40 Periodo: 4,VAZIO, 
14:50-15:40,AAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 2,AAA Curso: Curso11 Predio: CAA Capacidade: 40 Periodo: 2,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,A Curso: Curso3 Predio: CAA Capacidade: 40 Periodo: 4,VAZIO, 
16:00-16:50,AA Curso: Curso8 Predio: CAA Capacidade: 40 Periodo: 5,AA Curso: Curso8 Predio: CAA Capacidade: 40 Periodo: 5,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,VAZIO, VAZIO, 
16:50-17:40,AA Curso: Curso8 Predio: CAA Capacidade: 40 Periodo: 5,AA Curso: Curso8 Predio: CAA Capacidade: 40 Periodo: 5,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,AAAA Curso: Curso1 Predio: CAA Capacidade: 45 Periodo: 2,VAZIO, VAZIO, 
17:40-18:30,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 

18:50-19:35,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
19:35-20:20,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
20:30-21:15,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
21:15-22:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 



Sala: 103 Predio: CAA Capacidade: 45 Tipo: S,Segunda,Terça,Quarta,Quinta,Sexta,Sabado
07:00-08:00,VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, VAZIO, 
08:00-08:50,VAZIO, AA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 2,VAZIO, AA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 2,AA Curso: Curso16 Predio: CAA Capacidade: 30 Periodo: 7,VAZIO, 
08:50-09:40,VAZIO, AA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 2,VAZIO, AA Curso: Curso6 Predio: CAA Capacidade: 40 Periodo: 2,AA Curso: Curso16 Predio: CAA Capacidade: 30 Periodo: 7,VAZIO, 
10:00-10:50,AAAA Curso: Curso9 Predio: CAA Capacidade: 40 Periodo: 8,AA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 4,AAAA Curso: Curso9 Predio: CAA Capacidade: 40 Periodo: 8,AA Curso: Curso7 Predio: CAA Capacidade: 45 Periodo: 4,AA Curso: Curso16 Predio: CAA Capacidade: 30 Periodo: 7,VAZIO, 
